distribution,dataset_size,method,repeat,epsilon,PE_max,seed
d3,3000,CLiP-tuned,4,5.5,4.65,46
d3,3000,CLiP-tuned,5,6.7,6.21,42
d3,3000,CLiP-tuned,6,4.3,9.49,43
d3,3000,CLiP-tuned,7,6.6,5.04,44
d3,3000,CLiP-tuned,8,7.0,4.26,45
d3,3000,CLiP-tuned,9,3.1,6.36,46
d3,4000,Apple,0,7.0,17.87,42
d3,4000,Apple,1,7.0,16.66,43
d3,4000,Apple,2,7.0,24.63,44
d3,4000,Apple,3,7.0,4.64,45
d3,4000,Apple,4,7.0,9.9,46
d3,4000,Apple,5,7.0,55.06,42
d3,4000,Apple,6,7.0,3.38,43
d3,4000,Apple,7,7.0,28.5,44
d3,4000,Apple,8,7.0,4.59,45
d3,4000,Apple,9,7.0,20.53,46
d3,4000,CLiP-tuned,0,5.8,6.53,42
d3,4000,CLiP-tuned,1,6.1,11.13,43
d3,4000,CLiP-tuned,2,3.6,4.65,44
d3,4000,CLiP-tuned,3,6.5,7.75,45
d3,4000,CLiP-tuned,4,6.4,5.31,46
d3,4000,CLiP-tuned,5,6.9,4.17,42
d3,4000,CLiP-tuned,6,4.3,5.28,43
d3,4000,CLiP-tuned,7,4.3,4.2,44
d3,4000,CLiP-tuned,8,7.0,6.04,45
d3,4000,CLiP-tuned,9,6.9,4.17,46
d3,6000,Apple,0,7.0,14.89,42
d3,6000,Apple,1,7.0,6.04,43
d3,6000,Apple,2,7.0,4.26,44
d3,6000,Apple,3,7.0,2.45,45
d3,6000,Apple,4,7.0,9.58,46
d3,6000,Apple,5,7.0,13.12,42
d3,6000,Apple,6,7.0,24.07,43
d3,6000,Apple,7,7.0,4.26,44
d3,6000,Apple,8,7.0,25.51,45
d3,6000,Apple,9,7.0,22.3,46
d3,6000,CLiP-tuned,0,6.2,6.7,42
d3,6000,CLiP-tuned,1,4.1,6.81,43
d3,6000,CLiP-tuned,2,7.0,7.81,44
d3,6000,CLiP-tuned,3,7.0,3.57,45
d3,6000,CLiP-tuned,4,7.0,7.81,46
d3,6000,CLiP-tuned,5,5.2,4.52,42
d3,6000,CLiP-tuned,6,6.7,4.52,43
d3,6000,CLiP-tuned,7,7.0,4.26,44
d3,6000,CLiP-tuned,8,6.0,5.0,45
d3,6000,CLiP-tuned,9,6.6,5.72,46
d3,7000,Apple,0,7.0,12.94,42
d3,7000,Apple,1,7.0,19.01,43
d3,7000,Apple,2,7.0,19.01,44
d3,7000,Apple,3,7.0,11.35,45
d3,7000,Apple,4,7.0,29.63,46
d3,7000,Apple,5,7.0,20.53,42
d3,7000,Apple,6,7.0,8.31,43
d3,7000,Apple,7,7.0,3.83,44
d3,7000,Apple,8,7.0,8.31,45
d3,7000,Apple,9,7.0,22.04,46
d3,7000,CLiP-tuned,0,5.6,5.81,42
d3,7000,CLiP-tuned,1,7.0,5.35,43
